Ак-довурак, Тыва респ.;668050
Ак-дуруг, Тыва респ.;668213
Акжарское, Оренбургская обл.;462771
Акзигитово, Татарстан респ.;422535
Акилово, Пермский край;619325
Акимо-анненка, Кемеровская обл.;652260
Акимовка, Алтайский край;658342
Акимовка, Курская обл.;307362
Акись, Коми респ.;169725
Акишево, Вологодская обл.;162464
Аки-юрт, Ингушетия респ.;386321
Аккузево, Башкортостан респ.;452279
Аккузово, Татарстан респ.;423744
Акмурун, Башкортостан респ.;453676
Акнада, Дагестан респ.;368110
Акрамово, Чувашская респ.;429532
Аксаитово, Башкортостан респ.;452832
Аксай, Волгоградская обл.;404311
Аксай, Дагестан респ.;368031
Аксай, Ростовская обл.;346720
Аксаково, Оренбургская обл.;461605
Аксаково, Самарская обл.;446926
Аксакшур, Удмуртская респ.;427804
Аксарайский, Астраханская обл.;416154
Аксарина, Тюменская обл.;626068
Аксарино, Татарстан респ.;423501
Аксарино, Чувашская респ.;429567
Аксарка, Тюменская обл.;629620
Аксаур, Ульяновская обл.;433013
Аксел, Мордовия респ.;431235
Аксениха, Новосибирская обл.;632941
Аксенкино, Оренбургская обл.;461662
Аксеново, Башкортостан респ.;452130
Аксеново, Владимирская обл.;601571
Аксеново, Вологодская обл.;162663
Аксеново-зиловское, Забайкальский край;673497
Аксеново, Мордовия респ.;431514
Аксеново, Омская обл.;646582
Аксеново, Пермский край;619189
Аксеново, Псковская обл.;182853
Аксеново, Тверская обл.;172826
Аксеновская, Архангельская обл.;165171
Аксентис, Нижегородская обл.;606513
Аксентьево, Вологодская обл.;161473
Аксентьево, Тверская обл.;172641
Аксентьевская, Вологодская обл.;162468
Аксиньино, Московская обл.;142854
Аксиньино, Тульская обл.;301307
Аксубаево, Татарстан респ.;423060
Аксурка, Тюменская обл.;626267
Аксу, Татарстан респ.;422415
Аксы-барлык, Тыва респ.;668047
Аксютино, Оренбургская обл.;461713
Актабан, Курганская обл.;641682
Актал, Алтай респ.;649785
Ак-тал, Тыва респ.;668335
Актаныш, Татарстан респ.;423740
Акташ, Алтай респ.;649743
Актюбинский, Оренбургская обл.;462756
Актюбинский, Татарстан респ.;423304
Акузово, Нижегородская обл.;607529
Акулево, Чувашская респ.;429511
Акулиновка, Белгородская обл.;309355
Акуличи, Брянская обл.;242833
Акулово, Алтайский край;658054
Акулово, Калужская обл.;249213
Акурай, Забайкальский край;674623
